,CoSIR_Ideal,CoSIR_approx,Dynamic_Intervention_0.8,Dynamic_Intervention_0.5,Constant beta,Real
63,141508.77772239578,289218.8887919755,5247515.949446629,535457.4270041514,414909.589146775,231770.0
64,135819.06776624944,287455.850352395,4940148.540613885,483647.38925957406,364021.6482202924,238511.0
65,126896.76779304413,259297.03804193862,4646773.638513257,436834.12737061473,319347.2648079509,245251.0
66,118880.43073853113,233892.01586465703,4367296.302661005,394538.7421088031,280134.18622046395,252165.0
67,114807.44698929993,210972.33802154884,4101534.3788211085,356327.6750117229,245719.73306901762,256848.0
68,117173.3834823027,209646.77253841065,3849232.6688369894,321808.51943186886,215520.48500940003,261750.0
69,126388.22098137905,229486.44950715356,3610075.7972415662,290626.199097046,189023.07049674584,268008.0
70,137002.7303292126,251164.25544787344,3383699.787361116,262459.48568001937,165775.96292059598,275003.0
71,140853.62710312832,274842.6642305231,3169702.3854870214,237017.8283333339,145382.1887151528,282283.0
72,136607.16024995508,273005.98338830005,2967652.1906235116,214038.4696991022,127492.85787651445,289174.0
73,128418.07330576987,271159.14749897557,2777096.660450944,193283.82450108964,111801.43311328968,295268.0
74,120458.65366355235,244514.87872318595,2597569.0725081437,174539.0984284399,98038.66013804219,299750.0
75,115816.4176104005,220484.6073021825,2428594.52412144,157610.12659760317,85968.08804104295,304435.0
76,116969.48925248916,218960.52310403596,2269695.0561071374,142321.41241020503,75382.11504424155,311486.0
77,124758.96199407146,217432.56619074804,2120393.9844482774,128514.34909477476,66098.50105821966,317635.0
78,135049.35569397942,237758.4177081676,1980219.5215877178,116045.60761945414,57957.294260240946,324041.0
79,140061.9091633087,259942.28704674708,1848707.7651790194,104785.67598480402,50818.12432043952,331298.0
80,137170.66430972182,258054.00384586028,1725405.1274953617,94617.53614750582,44557.81989804415,338913.0
81,129739.06166842561,256159.47021056205,1609870.2735371692,85435.46598606155,39068.312603261504,344224.0
82,121902.44152172729,230922.4012206183,1501675.630454486,77143.95479933165,34254.793780244734,349396.0
83,116808.66282946133,208168.0798955432,1400408.5254063606,69656.72182983284,30034.094228951868,356255.0
84,116936.18282642352,206610.8722942367,1305672.0035635177,62895.828228999606,26333.2603710893,362274.0
85,123435.45694462472,205052.53016259332,1217085.3727299003,56790.873734527195,23088.303403506136,370712.0
