,CoSIR_Ideal,CoSIR_approx,Dynamic_Intervention_0.8,Dynamic_Intervention_0.5,Constant beta,Real
257,1398094.4589649753,3980719.29976875,345853.7015075572,1329376.4719821296,0.0001269765572135284,
258,1433954.1292211243,4290856.597269861,312584.7832392884,1199201.9585532635,0.0001113534172889159,
259,1428030.2729562311,4219412.427126854,282515.0991446711,1081765.1122042213,9.765254165040752e-05,
260,1388753.6653753778,4148688.50548951,255337.18922041252,975821.2610176222,8.56374157430889e-05,
261,1339915.7175901604,4078696.6360674733,230773.10732083913,880247.0368886277,7.510062565917926e-05,
262,1305214.1209007138,4009447.6784786354,208571.5943466194,794028.6132475343,6.586027760716653e-05,
263,1302248.3150706461,3940951.573634067,188505.52102739867,716251.0721289143,5.7756857927892384e-05,
264,1336432.5206003992,3873217.3693708,170369.57479951423,646088.7942557193,5.065047945287965e-05,
265,1391048.8518461187,4169852.148986581,153978.16765249072,582796.7754199437,4.441846666952525e-05,
266,1430577.7984439554,4488080.111964604,139163.54397711196,525702.7812623131,3.895323800650727e-05,
267,1430037.2870931756,4408975.812613277,125774.06941129534,474200.26063199894,3.416044868186829e-05,
268,1394326.965087448,4330756.608410032,113672.68346441894,427741.9450936703,2.99573620542564e-05,
269,1346003.1610194095,4253434.208276133,102735.50032154398,385834.0688925936,2.6271421362394093e-05,
270,1308940.798241849,4177019.189376167,92850.54370044419,348031.14983710094,2.3038997197097763e-05,
271,1301513.5920185274,4101521.031901073,83916.6029696154,313931.27715745673,2.0204289083790473e-05,
272,1331023.8787293697,4026948.153967262,75842.19894664112,283171.8574948525,1.7718362213820578e-05,
273,1384008.0879961154,3953307.946549429,68544.64889454583,255425.7748053303,1.5538302695936678e-05,
274,1426658.1322229314,4248924.659875276,61949.2212292993,230397.92416962812,1.3626476745250548e-05,
275,1431412.47587036,4170090.1975195897,55988.371353763265,207822.08331754885,1.1949881021265623e-05,
